id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,primary_title,start_year,genres
7,2018,Avengers: Infinity War,300000000,"$678,815,482",2048134200,1748134200,Avengers: Infinity War,2018,Action/Adventure
6,2015,Star Wars: Episode VII - The Force Awakens,306000000,"$936,662,225",2053311220,1747311220,Star Wars: Episode VII - The Force Awakens,2015,Action/Adventure
34,2015,Jurassic World,215000000,"$652,270,625",1648854864,1433854864,Jurassic World,2015,Action/Adventure
27,2012,The Avengers,225000000,"$623,279,547",1517935897,1292935897,The Avengers,2012,Action/Adventure
42,2018,Black Panther,200000000,"$700,059,566",1348258224,1148258224,Black Panther,2018,Action/Adventure
13,2018,Jurassic World: Fallen Kingdom,170000000,"$417,719,760",1305772799,1135772799,Jurassic World: Fallen Kingdom,2018,Action/Adventure
61,2011,Harry Potter and the Deathly Hallows: Part 2,125000000,"$381,193,157",1341693157,1216693157,Harry Potter and the Deathly Hallows: Part 2,2011,Drama
4,2015,Avengers: Age of Ultron,330600000,"$459,005,868",1403013963,1072413963,Avengers: Age of Ultron,2015,Action/Adventure
56,2013,Frozen,150000000,"$400,738,009",1272469910,1122469910,Frozen,2013,Family/Animation
67,2015,Furious 7,190000000,"$353,007,020",1518722794,1328722794,Furious 7,2015,Action/Thriller
48,2013,Iron Man 3,200000000,"$408,992,272",1215392272,1015392272,Iron Man 3,2013,Action/Adventure
35,2017,Beauty and the Beast,160000000,"$504,014,165",1259199706,1099199706,Beauty and the Beast,2017,Family/Animation
23,2017,The Fate of the Furious,250000000,"$225,764,765",1234846267,984846267,The Fate of the Furious,2017,Action/Thriller
5,2017,Star Wars: The Last Jedi,317000000,"$620,181,382",1316721747,999721747,Star Wars: The Last Jedi,2017,Action/Adventure
73,2015,Minions,74000000,"$336,045,770",1160336173,1086336173,Minions,2015,Family/Animation
44,2018,Incredibles 2,200000000,"$608,581,744",1242520711,1042520711,Incredibles 2,2018,Family/Animation
30,2017,Despicable Me 3,75000000,"$264,624,300",1034727750,959727750,Despicable Me 3,2017,Family/Animation
22,2013,Despicable Me 2,76000000,"$368,065,385",975216835,899216835,Despicable Me 2,2013,Family/Animation
36,2018,Aquaman,160000000,"$335,061,807",1146894640,986894640,Aquaman,2018,Action/Adventure
96,2019,Captain Marvel,175000000,"$426,525,952",1123061550,948061550,Captain Marvel,2019,Action/Adventure
64,2011,Transformers: Dark of the Moon,195000000,"$352,390,543",1123790543,928790543,Transformers: Dark of the Moon,2011,Action/Adventure
