id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_percentage,primary_title,start_year,genres
22,2013,42,31000000,"$95,020,213",97470701,66470701,2.144216161,42,2013.0,"Biography,Drama,Sport"
54,2016,10 Cloverfield Lane,5000000,"$72,082,999",108286422,103286422,20.657284399999998,10 Cloverfield Lane,2016.0,"Drama,Horror,Mystery"
64,2018,12 Strong,35000000,"$45,819,713",71118378,36118378,1.031953657,12 Strong,2018.0,"Action,Drama,History"
18,2013,12 Years a Slave,20000000,"$56,671,993",181025343,161025343,8.05126715,12 Years a Slave,2013.0,"Biography,Drama,History"
6,2010,127 Hours,18000000,"$18,335,230",60217171,42217171,2.345398389,127 Hours,2010.0,"Adventure,Biography,Drama"
30,2016,13 Hours,50000000,"$52,853,219",69411370,19411370,0.38822740000000006,13 Hours,2016.0,"Action,Drama,History"
39,2013,2 Guns,61000000,"$75,612,460",132493015,71493015,1.172016639,2 Guns,2013.0,"Action,Comedy,Crime"
13,2012,2016: Obama's America,2500000,"$33,349,941",33349941,30849941,12.339976400000001,2016: Obama's America,2012.0,Documentary
70,2013,21 & Over,13000000,"$25,682,380",42195766,29195766,2.2458281540000002,21 & Over,2013.0,Comedy
44,2012,21 Jump Street,42000000,"$138,447,667",202812429,160812429,3.828867357,21 Jump Street,2012.0,"Action,Comedy,Crime"
85,2014,22 Jump Street,50000000,"$191,719,337",331333876,281333876,5.62667752,22 Jump Street,2014.0,"Action,Comedy,Crime"
64,2014,3 Days to Kill,28000000,"$30,697,999",38959900,10959900,0.391425,3 Days to Kill,2014.0,"Action,Drama,Thriller"
60,2011,30 Minutes or Less,28000000,"$37,053,924",40966716,12966716,0.46309700000000004,30 Minutes or Less,2011.0,"Action,Comedy,Crime"
26,2014,300: Rise of an Empire,110000000,"$106,580,051",330780051,220780051,2.007091373,300: Rise of an Empire,2014.0,"Action,Fantasy,War"
12,2013,47 Ronin,175000000,"$38,362,475",151716815,-23283185,-0.1330467714,47 Ronin,2013.0,"Action,Adventure,Drama"
73,2011,50/50,8000000,"$35,016,118",41334735,33334735,4.166841875,50/50,2011.0,"Comedy,Drama,Romance"
40,2017,A Bad Moms Christmas,28000000,"$72,110,659",127710550,99710550,3.5610910710000003,A Bad Moms Christmas,2017.0,"Adventure,Comedy"
86,2017,A Dog's Purpose,25000000,"$64,321,890",203671625,178671625,7.146864999999999,A Dog's Purpose,2017.0,"Adventure,Comedy,Drama"
41,2019,A Dog's Way Home,61000000,"$41,952,715",81149689,20149689,0.33032277050000003,A Dog's Way Home,2019.0,"Adventure,Drama,Family"
34,2013,A Good Day to Die Hard,92000000,"$67,349,198",304249198,212249198,2.3070565,A Good Day to Die Hard,2013.0,"Action,Thriller"
12,2013,A Haunted House,2500000,"$40,041,683",59922558,57422558,22.9690232,A Haunted House,2013.0,"Comedy,Fantasy"
89,2014,A Haunted House 2,4000000,"$17,329,487",21206861,17206861,4.30171525,A Haunted House 2,2014.0,"Comedy,Fantasy"
48,2014,A Million Ways to Die in the West,40000000,"$42,720,965",86778557,46778557,1.169463925,A Million Ways to Die in the West,2014.0,"Comedy,Western"
41,2016,A Monster Calls,43000000,"$3,740,823",46414530,3414530,0.07940767442,A Monster Calls,2016.0,"Animation,Drama,Fantasy"
76,2014,A Most Wanted Man,15000000,"$17,237,855",36068890,21068890,1.404592667,A Most Wanted Man,2014.0,"Crime,Drama,Thriller"
49,2010,A Nightmare on Elm Street,35000000,"$63,075,011",117729621,82729621,2.3637034569999997,A Nightmare on Elm Street,2010.0,"Crime,Drama,Horror"
66,2018,A Quiet Place,17000000,"$188,024,361",334522294,317522294,18.677782,A Quiet Place,2018.0,"Drama,Horror,Sci-Fi"
24,2018,A Simple Favor,20000000,"$53,548,586",97628717,77628717,3.88143585,A Simple Favor,2018.0,"Comedy,Crime,Drama"
5,2018,A Star Is Born,36000000,"$215,288,866",433449571,397449571,11.04026586,A Star Is Born,2018.0,"Drama,Music,Romance"
1,2012,A Thousand Words,40000000,"$18,450,127",20790486,-19209514,-0.48023785,A Thousand Words,2012.0,"Comedy,Drama"
53,2011,A Very Harold & Kumar 3D Christmas,20000000,"$35,061,031",36265745,16265745,0.81328725,A Very Harold & Kumar 3D Christmas,2011.0,"Adventure,Comedy"
67,2014,A Walk Among the Tombstones,28000000,"$26,017,685",62108587,34108587,1.2181638209999999,A Walk Among the Tombstones,2014.0,"Action,Crime,Drama"
75,2015,A Walk in the Woods,8000000,"$29,499,394",37119358,29119358,3.63991975,A Walk in the Woods,2015.0,"Adventure,Biography,Comedy"
58,2018,A Wrinkle in Time,103000000,"$100,478,608",133401882,30401882,0.2951639029,A Wrinkle in Time,2018.0,"Adventure,Family,Fantasy"
96,2011,Abduction,35000000,"$28,087,155",86648359,51648359,1.4756673999999999,Abduction,2011.0,"Action,Mystery,Thriller"
96,2011,Abduction,35000000,"$28,087,155",86648359,51648359,1.4756673999999999,Abduction,2011.0,"Horror,Thriller"
58,2014,About Last Night,13000000,"$48,637,684",50445860,37445860,2.880450769,About Last Night,2014.0,"Comedy,Romance"
95,2013,About Time,12000000,"$15,323,921",89309178,77309178,6.4424315000000005,About Time,2013.0,"Comedy,Drama,Fantasy"
65,2012,Abraham Lincoln: Vampire Hunter,67500000,"$37,519,139",137489730,69989730,1.036884889,Abraham Lincoln: Vampire Hunter,2012.0,"Action,Fantasy,Horror"
35,2018,Acrimony,20000000,"$43,549,096",46627836,26627836,1.3313918,Acrimony,2018.0,"Drama,Romance,Thriller"
52,2012,Act of Valor,12000000,"$70,012,847",82497035,70497035,5.874752917,Act of Valor,2012.0,"Action,Adventure,Drama"
89,2018,Adrift,35000000,"$31,445,011",57897191,22897191,0.6542054571,Adrift,2018.0,"Action,Adventure,Biography"
53,2013,After Earth,130000000,"$60,522,097",251499665,121499665,0.9346128077,After Earth,2013.0,"Action,Adventure,Drama"
81,2019,Aladdin,182000000,"$246,734,314",619234314,437234314,2.402386341,Aladdin,2019.0,"Adventure,Comedy,Family"
100,2012,Alex Cross,35000000,"$25,888,412",35426759,426759,0.01219311429,Alex Cross,2012.0,"Action,Crime,Mystery"
44,2014,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,"$66,954,149",101379287,73379287,2.620688821,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014.0,"Comedy,Family"
51,2010,Alice in Wonderland,200000000,"$334,191,110",1025491110,825491110,4.12745555,Alice in Wonderland,2010.0,"Adventure,Family,Fantasy"
51,2010,Alice in Wonderland,200000000,"$334,191,110",1025491110,825491110,4.12745555,Alice in Wonderland,2010.0,"Fantasy,Musical"
26,2016,Alice Through the Looking Glass,170000000,"$77,042,381",276928112,106928112,0.6289888940999999,Alice Through the Looking Glass,2016.0,"Adventure,Family,Fantasy"
12,2017,Alien: Covenant,97000000,"$74,262,031",238521247,141521247,1.458981928,Alien: Covenant,2017.0,"Horror,Sci-Fi,Thriller"
24,2019,Alita: Battle Angel,170000000,"$85,710,210",402976036,232976036,1.370447271,Alita: Battle Angel,2019.0,"Action,Adventure,Sci-Fi"
91,2017,All Eyez on Me,45000000,"$44,922,302",54876855,9876855,0.21948566670000003,All Eyez on Me,2017.0,"Biography,Drama,Music"
47,2016,Allied,106000000,"$40,098,064",119266661,13266661,0.1251571792,Allied,2016.0,"Action,Drama,Romance"
81,2016,Almost Christmas,17000000,"$42,065,185",42493506,25493506,1.4996180000000001,Almost Christmas,2016.0,"Comedy,Drama"
